,actual,prediction_day1,prediction_day2,prediction_day3,prediction_day4,prediction_day5,prediction_day6,prediction_day7
2022-01-01,21.5,20.093485653108964,21.24238564520606,19.753747563496095,18.644333525071186,21.854456486879837,23.06898027336537,23.425587595198998
2022-01-02,24.5,25.25887061934451,21.847918595912393,23.776575297496628,25.081267792942537,24.96565517434314,24.862034033388486,24.953719751430615
2022-01-03,16.399999618530273,16.48058356994844,16.634648270443908,14.36021021394209,16.32855739723432,16.219178051915687,13.482172808918918,19.59179773077853
2022-01-04,14.40000057220459,14.208145127308644,14.767603862544304,12.574831706493388,14.725179960903375,13.143542016796914,14.587315950630652,12.853667633774478
2022-01-05,14.199999809265137,13.342971455538343,13.234810459105478,13.462582410946453,16.129589869309406,11.803491869429713,13.153481501070445,9.372945166687195
2022-01-06,15.0,15.006452472356687,14.183002668143633,14.022798339080726,18.29874398947575,14.577255128278873,14.671256098807968,17.28189199252716
2022-01-07,17.80000114440918,16.19515435242097,17.237541713151987,18.663602013171687,19.59513248214337,17.19903363892419,17.49446962746294,19.264736937391014
2022-01-08,17.80000114440918,17.852782032232874,17.404056966860647,19.67328037002287,19.735968343181035,17.78358794991866,17.89213305056789,16.98111216730907
2022-01-09,16.399999618530273,15.64080546727721,18.821081671485693,16.94426074585268,14.18729582300909,18.292822575092863,18.235746597747593,16.03680761570633
2022-01-10,19.80000114440918,19.62186419224096,20.977171188221007,18.145034820637147,19.582164479441747,19.866701982902633,18.493602725435764,16.738154416548237
2022-01-11,26.200000762939453,25.997549470233984,25.43255857655782,27.01152521068483,27.17900197137392,24.741727645443405,25.27722815330933,27.641251141787386
2022-01-12,24.600000381469727,24.00454861311314,24.66893117757591,28.27037915227099,23.078574448940827,22.721235710701716,28.766734879109766,23.729816725259326
2022-01-13,21.700000762939453,22.763707751891776,21.442744282818655,20.866244798036437,21.357678505634972,22.961490127361184,22.534394355440902,23.18666440098073
2022-01-14,17.600000381469727,18.65272257696942,16.309614959244183,17.18933702671938,17.744830940512948,17.219118097994485,17.559776737830706,16.765767839809612
2022-01-15,17.0,17.281133888568508,16.601479577306275,13.797152918921071,16.539470909971875,14.278692942245172,18.53277314473137,18.345237042722335
2022-01-16,19.100000381469727,18.756490954960515,19.115180272863455,20.569040796654726,15.322582414285797,21.026716420713676,17.945844728131604,13.828583906944196
2022-01-17,17.200000762939453,16.533470977403322,18.515223370779147,14.02807056035047,16.721767976952286,18.95797644495673,13.597340475836484,18.889110612561026
2022-01-18,15.300000190734863,15.631754575620521,15.767318154248173,17.278266782034486,15.384302820546942,13.402703545517495,13.797533425675647,16.226868735100783
2022-01-19,15.300000190734863,15.085417495542098,15.000844102558027,15.422298795905892,14.329310531268117,15.53201973728645,17.106841183711584,14.231645496567378
2022-01-20,17.200000762939453,17.73472700910771,18.987880093096095,18.862816105331586,15.538589419230405,19.570488712544417,19.522169953255293,19.251249905698714
2022-01-21,21.80000114440918,23.472004597102146,19.231971672128655,22.53441806890155,19.162350699985858,21.613701239624845,23.053334857669068,22.159555817463737
2022-01-22,24.0,23.93994289893038,26.481276635268177,24.323491112165847,24.479808947430698,22.348869270680503,18.613986196595597,23.385416295763576
2022-01-23,23.0,23.043825013505565,21.21836412256732,21.041526093813467,24.381612679036035,23.332955239840356,23.175898831663066,21.25528742501935
2022-01-24,21.399999618530273,21.537402683882785,20.668281743622078,20.48130170783816,21.558843518040007,20.174689687023893,22.356261895047194,25.333717105772777
2022-01-25,24.200000762939453,24.948055232159753,25.287191623209452,23.451363199208455,21.656620575061794,22.788213443790468,25.117736923717786,26.645712910832653
2022-01-26,24.100000381469727,25.964668688816936,22.939140300659737,24.27205384183021,23.792434304914597,23.248548502393273,25.82730740563318,24.36303919542462
2022-01-27,20.5,20.834203328363934,20.993428172592104,21.377457394655412,17.67128939885817,18.66676172041302,20.956899377172103,19.07887377909437
2022-01-28,22.700000762939453,23.761321039000006,22.527642792774895,22.579326965754472,23.247546221612026,20.126071017322147,21.344740284586692,24.255650725981727
2022-01-29,18.600000381469727,18.257632088897093,18.565112800947404,14.81287001223811,18.319655593260602,17.029973458316785,17.504927412039137,16.644516880402357
2022-01-30,19.80000114440918,18.98087885106028,20.295677830797207,20.49942496654925,19.061363712978345,20.394183735614213,20.006808980868197,19.526256876008325
2022-01-31,18.899999618530273,19.53207681542975,19.21373611848542,20.51168281076495,19.75291330274671,19.367415862870587,17.906643689042795,15.799484302437232
2022-02-01,20.700000762939453,20.032794576207365,20.70164712901675,20.25131724891144,19.0682665474717,17.25439447805742,19.666869620096158,18.892800284800227
2022-02-02,12.5,13.278251902253363,13.6711485699361,14.106256745625792,13.000263517789472,11.530405213076698,12.479619540058147,10.999525101228429
2022-02-03,12.5,12.008122752805903,12.910336004780872,12.88723826344621,13.164963355723573,14.262217489115168,16.684132842667836,14.81413199550256
2022-02-04,12.800000190734863,12.26890756366076,14.539908965966886,12.857603464228186,12.956840072874165,10.94365255570338,9.066275225337778,13.976266706679205
2022-02-05,15.0,14.835200259989206,14.813220736787443,16.679790609482563,13.6293217731509,13.954987912369655,14.399662716743347,13.514941850219008
2022-02-06,19.399999618530273,19.43509612958216,19.466089571787162,19.967034741332952,17.714494294649263,17.89899837881883,21.323886933812727,22.731811778883596
2022-02-07,21.0,22.55139924587901,21.775727346624794,20.448409660696214,20.653430736395308,22.765453638681127,20.4918526751275,23.07968157023272
2022-02-08,20.5,20.38911657395486,21.560534061094522,17.92864970547074,21.147231407525503,18.97133245275972,21.24876121482489,18.08872533399684
2022-02-09,19.600000381469727,20.343934280104992,19.880793100392516,20.37677880912359,21.92054323991573,20.507511553011042,20.168371514129934,18.50594018653063
2022-02-10,15.90000057220459,15.793820364419702,16.570183190102597,19.677670350958408,15.79184660931621,12.993716878014043,15.685622873355236,15.034825238709956
2022-02-11,14.600000381469727,15.440400283838237,13.953982279053886,15.468831026940434,15.490331453235235,13.763655181593837,12.56078721783343,15.644743717551382
2022-02-12,14.100000381469727,14.213373050976093,15.694248916827302,13.245415467636963,16.258458492892213,16.42596272857686,15.15443122730004,14.556523126396623
2022-02-13,15.100000381469727,13.631625213013061,16.135051052816195,16.528995155990298,16.353787157692484,17.264869265094017,11.978165811164917,13.144834422119759
2022-02-14,20.700000762939453,20.51433291661074,18.81509018172322,19.147051307104935,22.57797970693287,21.809043968329267,24.157968391370584,18.81259466769102
2022-02-15,20.700000762939453,20.86666638584843,22.17319700812173,20.183295847520494,22.52545758926383,19.8340134699108,22.643249234939166,22.00780854856679
2022-02-16,20.30000114440918,21.919423298926752,22.05086657651212,22.413921448045073,19.996970965662477,17.644456239600565,22.048641626650323,26.34012253886298
2022-02-17,16.899999618530273,15.61963463828983,16.01765208914746,17.928386232438456,17.70451612483609,17.309927270261884,19.760046542906565,17.74538478029116
2022-02-18,13.600000381469727,13.749707400630625,14.618401733430156,11.439625110246295,15.226260336614693,17.11500710747624,12.509833572635404,11.030694734386698
2022-02-19,13.199999809265137,12.657044513089634,14.051121597817325,12.605578570533368,12.869011603992766,11.599937816255384,13.380974104018609,11.995688910555593
2022-02-20,12.800000190734863,12.961270359420212,12.714621053234769,14.893142139967356,13.269357018820235,14.772265994420591,16.52557694135329,13.662668874235024
2022-02-21,13.5,14.302675999090129,13.717613641677705,13.302418532030845,11.86256955120459,12.969703067044358,16.337077685594476,14.131018052723642
2022-02-22,12.5,10.767264259902866,12.311397904469446,12.454558736318294,12.065804391136123,12.827718441122308,14.386777561303461,13.862065248046969
2022-02-23,15.90000057220459,16.42523633510747,15.301359299247522,14.629362111684127,13.410210778488802,16.287976735052247,16.112768311316493,15.85391838101939
2022-02-24,20.899999618530273,21.22891343456987,22.25459372697925,19.92468537997912,20.221177179798794,20.75337305796273,22.344519425744842,19.043559867619976
2022-02-25,20.0,20.503709562972222,19.947544153369105,19.464823443854506,23.097148392288332,19.751357743205773,20.4529087913136,18.934998820781882
2022-02-26,17.600000381469727,18.083040918697115,17.935459697140722,16.633246126346492,21.764626597049535,18.91809259419064,14.068638316354773,17.845664092987104
2022-02-27,19.0,18.033259401902356,19.342255918288934,19.721120625916743,20.469416230350877,22.813793669827223,15.921345541178583,17.959973645658625
2022-02-28,19.600000381469727,17.643204537503813,19.868006758214698,19.40629164439261,20.024952580213938,17.756670725492693,20.953318448045234,20.928607765069984
2022-03-01,18.600000381469727,17.784961303510986,20.911428342614993,17.66814838294909,17.59647149103962,18.339617135691878,17.326248681815077,18.696919099155473
2022-03-02,17.899999618530273,17.089251331868116,15.199063070590704,16.04259977105224,17.201580589805065,16.763775893000687,20.56979069277003,14.731001326219058
2022-03-03,18.899999618530273,18.66269418131916,18.879116046765287,19.551222980572334,18.619189690457752,21.589031130923125,18.58890251218537,19.108845934954957
2022-03-04,21.399999618530273,22.82713946188751,21.58885595167928,19.474936141331924,22.13158350655993,18.521027749622966,23.093516976102986,22.09783607579769
2022-03-05,16.600000381469727,16.998490718813276,18.394473347613346,16.606603284267848,18.212387568381107,14.794726540421685,19.072452592057637,17.910663322807977
2022-03-06,16.30000114440918,17.16920108829455,17.080781030351663,17.65840809664796,15.694476128124679,17.563568809790155,17.80440119722762,16.49988474702367
2022-03-07,15.5,15.899341999470554,15.616382628081421,14.731605557574078,15.398008493342143,19.801439232069832,18.091915084880636,19.413883032953365
2022-03-08,14.699999809265137,15.87668970541949,15.237763212886701,13.209873708683208,16.042063207970042,13.463737018002607,15.029114910271623,15.856207375585738
2022-03-09,12.699999809265137,12.605769427492119,14.612539539196048,13.279571227562725,13.254836317692067,9.513129649601732,12.388104053082222,12.284365609755163
2022-03-10,12.100000381469727,14.178728982102102,9.934433048740221,11.625776920012488,12.569825032484012,11.743277887656278,13.928612995655545,13.501955282512661
2022-03-11,13.100000381469727,12.951129066271026,14.070783360424647,9.788618288010301,11.286059567666571,12.595162130771913,15.956065745746564,16.259003444019246
2022-03-12,11.40000057220459,12.511933534842127,9.750779012736668,11.085898327396238,11.140340758843212,9.620978621517501,6.661961844751721,10.482080751979346
2022-03-13,12.90000057220459,12.944695812175034,13.171549622694476,11.396236116165303,15.573865289942043,13.936270392091302,13.746120742232259,11.321953771852876
2022-03-14,17.30000114440918,16.697975468934086,17.70753513810938,20.27889792012354,16.677863990847875,21.85009679855176,16.697324442716223,14.805480042525774
2022-03-15,19.200000762939453,18.46255017088491,19.170827772648334,16.05469822249877,20.439422438323064,19.001661817658633,18.538712632674315,17.52732194756752
2022-03-16,18.700000762939453,18.148516469101185,17.00436844811259,20.821469466640597,17.840450577643985,18.81737993567676,19.813674893328013,19.910287144424316
2022-03-17,19.600000381469727,18.364560386959496,18.798712265684138,21.09919115456092,18.817294714862822,19.138335623231654,18.150731716292988,17.187897000148304
2022-03-18,18.899999618530273,19.31370285079247,17.165283510673913,17.685210121651114,17.205151288783476,18.79993039616742,22.032948887953037,17.667507305190625
2022-03-19,16.700000762939453,16.285212121011938,16.705675127631373,17.734381083121164,15.416267222132255,14.880698007406128,18.878339258591584,18.180680393502293
2022-03-20,17.899999618530273,18.026575634213945,17.539913357393015,20.543179827564796,14.470999211467547,20.007000336843394,18.603632807236004,14.643249337515226
2022-03-21,18.0,18.526584114774586,19.05812814731589,17.58001765573426,18.11081439204366,20.612356980667617,14.349922397185018,17.1192890128342
2022-03-22,17.399999618530273,18.855050559186587,16.553640992508896,18.204947845731354,17.980637894627407,19.70092617654859,15.959023303369149,17.23018875829895
2022-03-23,12.600000381469727,11.139819640458896,11.47459056110119,12.707505032229411,13.187195460626414,14.634516264119203,11.152293679656873,10.698825466427891
2022-03-24,12.199999809265137,12.587827460735948,9.807454770540932,14.0429390108608,12.670367750404829,10.641212023248428,9.739828620037263,16.344340302120177
2022-03-25,10.199999809265137,8.951910271267899,9.155376833051001,8.93958109518657,12.259431486398373,8.591135006483883,12.273906029893828,4.6068379085998385
2022-03-26,11.600000381469727,12.600046218123852,12.829410244987033,13.389099167874635,12.371866649295905,9.277596183517797,13.693225422010299,10.707592643477303
2022-03-27,13.300000190734863,12.753147382835557,11.523267285251228,15.291727410648736,15.621837960292,12.18951199583751,14.011812357623224,12.514514952332751
2022-03-28,17.80000114440918,18.261228877826802,17.898858330539003,16.684747006979133,15.720410042959392,15.481538796068545,17.13478039108364,12.725256757907768
2022-03-29,14.300000190734863,12.934950173644324,15.09024348582585,12.51650005520144,15.014814351625922,13.314227503766837,14.04392643581303,12.079538943336868
2022-03-30,12.100000381469727,11.165210151452943,13.931498597666907,10.143340798368424,7.115690019575679,16.247435636212693,12.989505602525144,12.621289260463817
2022-03-31,10.5,10.967355123790258,11.886441117466088,8.833878008457402,8.403332677715957,11.338223498936475,12.361880497924481,10.905827280484734
2022-04-01,11.600000381469727,11.86651718465265,12.816679526591283,10.059428880609637,9.633510765385791,10.448518460139121,13.39451054471866,13.628517052202605
2022-04-02,4.099999904632568,4.687731176734179,3.887404926320951,5.382643773053237,5.635695403646854,3.6692669969532115,4.3834640599499695,6.274096589620305
2022-04-03,12.800000190734863,13.367000027429002,12.226090780845265,10.461441924330853,11.889425926532818,13.828427254281017,12.956917011077016,11.073748658022037
2022-04-04,9.90000057220459,11.506519633843583,9.762244829172806,9.237007251716356,10.286581293453578,11.089472407346168,11.163069229909947,13.077864073159187
2022-04-05,9.600000381469727,9.956753915061935,10.198789875169906,10.388728805132764,10.080778037213921,6.123728276012004,8.085024755120475,11.25490593514997
2022-04-06,15.90000057220459,16.41211031004884,16.451585334303058,15.585016098185521,15.256242697018509,19.677099254015637,14.517806383179007,10.623174489901565
2022-04-07,12.800000190734863,10.539475395818613,13.773395434451757,12.044466702556901,12.78438920751044,14.744893958778293,12.789955673283872,7.7815180016876555
